total_price_pln,price_pln,czynsz_pln,area_m2,price_per_m2,rooms,floor_number,year_built,building_type,owner_type,lat,lon,has_balcony,has_terrace,has_garden,has_elevator,has_garage,has_parking,has_storage_room,has_air_conditioning,has_furnished,has_dishwasher,has_washing_machine,has_fridge,has_oven,has_intercom,has_monitoring,has_protected_estate,has_pets_allowed
3750.0,3000.0,750.0,43.0,87.21,2.0,7.0,2019.0,unknown,agency,54.403,18.62394,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0
3200.0,2600.0,600.0,40.0,80.0,2.0,2.0,2019.0,apartamentowiec,agency,54.358684039051,18.58169708515,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
3000.0,2600.0,400.0,40.0,75.0,2.0,4.0,2022.0,blok,private,54.30875389671013,18.58418877462158,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0
2600.0,2200.0,400.0,23.0,113.04,1.0,9.0,2019.0,blok,agency,54.4134101,18.5944198,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0
2800.0,1800.0,1000.0,24.0,116.67,1.0,2.0,2025.0,apartamentowiec,agency,54.354082677871,18.676374864001,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2400.0,2000.0,400.0,20.0,120.0,1.0,2.0,1936.0,kamienica,private,54.3877823,18.5855064,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0
3200.0,2600.0,600.0,36.0,88.89,2.0,3.0,2025.0,blok,private,54.3102555,18.5987562,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0
4800.0,2400.0,2400.0,30.0,160.0,2.0,0.0,2019.0,blok,private,54.3295446,18.5672624,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0
3500.0,3000.0,500.0,42.0,83.33,2.0,4.0,2024.0,blok,private,54.328669724205,18.59038568728,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0
4200.0,3400.0,800.0,40.0,105.0,2.0,4.0,2019.0,apartamentowiec,private,54.4126697,18.5598886,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
4900.0,4000.0,900.0,45.0,108.89,2.0,9.0,2019.0,blok,agency,54.4073959,18.6144883,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
6140.0,2600.0,3540.0,48.9,125.56,2.0,2.0,1980.0,blok,agency,54.356724,18.584996,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0
3250.67,2700.0,550.67,55.0,59.1,2.0,3.0,1940.0,kamienica,private,54.354933,18.655333,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
3300.0,2600.0,700.0,44.0,75.0,2.0,1.0,2022.0,blok,private,54.3116084,18.5726982,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0
4344.0,3710.0,634.0,52.83,82.23,3.0,2.0,2026.0,blok,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
4682.0,4048.0,634.0,52.83,88.62,3.0,3.0,2026.0,blok,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
3424.0,2980.0,444.0,34.44,99.42,2.0,6.0,2026.0,blok,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
3100.0,2600.0,500.0,38.0,81.58,2.0,4.0,2019.0,apartamentowiec,agency,54.3295446,18.5672624,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
4525.0,4000.0,525.0,60.0,75.42,3.0,1.0,2019.0,unknown,private,54.3473181,18.6244098,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
3500.0,3500.0,0.0,43.0,81.4,2.0,3.0,2018.0,blok,private,54.4063054,18.5809413,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
3900.0,3200.0,700.0,44.0,88.64,2.0,4.0,2025.0,blok,private,54.344010095705,18.569659368292,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0
3500.0,2900.0,600.0,47.5,73.68,2.0,5.0,2024.0,blok,private,54.332742381477,18.618308218716,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
4800.0,4000.0,800.0,60.0,80.0,3.0,3.0,2023.0,blok,private,54.342534119606,18.569080011145,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0
5400.0,2700.0,2700.0,38.0,142.11,2.0,4.0,2019.0,blok,private,54.313217,18.5904269,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0
