total_price_pln,price_pln,czynsz_pln,area_m2,price_per_m2,rooms,floor_number,year_built,building_type,owner_type,lat,lon,has_balcony,has_terrace,has_garden,has_elevator,has_garage,has_parking,has_storage_room,has_air_conditioning,has_furnished,has_dishwasher,has_washing_machine,has_fridge,has_oven,has_intercom,has_monitoring,has_protected_estate,has_pets_allowed,listing_id,has_image_score,avg_confidence_all,avg_confidence_usable,image_score_mean,image_score_weighted,image_score_top2_weighted,image_score_max,best_overall_quality,best_condition,best_modernness,best_furnishing_quality
4127.0,3540.0,587.0,48.89,84.41,2.0,3.0,2026.0,blok,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,4AoeX,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
4888.0,4169.0,719.0,59.84,81.68,3.0,1.0,2026.0,blok,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,4Al0l,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3200.0,2800.0,400.0,59.0,54.24,2.0,1.0,2024.0,kamienica,private,54.3326545,18.5844249,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,4Apso,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3275.0,2600.0,675.0,42.0,77.98,2.0,3.0,2015.0,blok,private,54.4227096,18.473733,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,4pw7c,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3800.0,3800.0,0.0,61.0,62.3,3.0,5.0,2025.0,blok,agency,54.351072,18.586356,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,4ApvE,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
5330.0,4400.0,930.0,60.0,88.83,3.0,9.0,2019.0,apartamentowiec,agency,54.3911714,18.6225291,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4zvLv,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
4200.0,3300.0,900.0,67.0,62.69,3.0,1.0,2019.0,apartamentowiec,agency,54.2953714,18.6192695,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4zY1Y,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
2300.0,1700.0,600.0,20.5,112.2,1.0,4.0,2024.0,apartamentowiec,agency,54.37822,18.59636,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,4yCPz,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2446.0,2446.0,0.0,27.0,90.59,1.0,2.0,2019.0,unknown,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,4zM3w,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
4800.0,2500.0,2300.0,32.0,150.0,1.0,0.0,1908.0,kamienica,agency,54.40734,18.56777,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,4ApAF,0,,,,,,,,,,
2795.0,2496.0,299.0,29.0,96.38,1.0,4.0,2015.0,blok,agency,54.37822,18.59636,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,4AmH0,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
2699.0,2400.0,299.0,37.89,71.23,2.0,2.0,2019.0,unknown,agency,54.33436,18.56824,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,4A2vn,1,0.8,0.8,0.6055200000000001,0.6055200000000001,0.6055200000000001,0.6055200000000001,1.0,0.5,0.5,0.8
5000.0,2500.0,2500.0,42.0,119.05,2.0,0.0,2019.0,blok,agency,54.3341912,18.5849333,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,4A5es,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3660.0,2900.0,760.0,37.0,98.92,2.0,2.0,2019.0,apartamentowiec,private,54.388737163327,18.596487562726,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4lN9p,1,0.5,0.5,0.2025,0.2025,0.2025,0.2025,1.0,0.0,0.0,0.0
2550.0,2550.0,0.0,41.2,61.89,2.0,1.0,2019.0,blok,agency,54.344812,18.65209622,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,4A88h,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2750.0,2300.0,450.0,40.57,67.78,2.0,3.0,2019.0,blok,agency,54.3085404,18.58618843,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,4w5Ex,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2700.0,2700.0,0.0,46.0,58.7,2.0,5.0,2019.0,unknown,agency,54.4095274,18.6012421,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4yOR3,0,,,,,,,,,,
4400.0,3300.0,1100.0,71.0,61.97,3.0,1.0,1990.0,unknown,agency,54.35505,18.57172,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,4Apir,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3200.0,2400.0,800.0,45.0,71.11,2.0,2.0,2019.0,blok,agency,54.360689,18.716273,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,4ymVV,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7400.0,6200.0,1200.0,65.0,113.85,3.0,2.0,2023.0,blok,agency,54.3990269,18.5658514,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,4Af9Z,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3150.0,2500.0,650.0,41.0,76.83,2.0,2.0,2025.0,apartamentowiec,agency,54.3102555,18.5987562,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4zDLr,1,0.8,0.8,0.7307999999999999,0.7307999999999999,0.7307999999999999,0.7307999999999999,1.0,1.0,0.5,1.0
3500.0,3500.0,0.0,70.0,50.0,2.0,1.0,2011.0,apartamentowiec,agency,54.35024,18.66055,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,4Apbg,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3750.0,3000.0,750.0,43.0,87.21,2.0,7.0,2019.0,unknown,agency,54.403,18.62394,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,4Apiq,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3200.0,2600.0,600.0,40.0,80.0,2.0,2.0,2019.0,apartamentowiec,agency,54.358684039051,18.58169708515,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4zVfK,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3000.0,2600.0,400.0,40.0,75.0,2.0,4.0,2022.0,blok,private,54.30875389671013,18.58418877462158,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,4j5v1,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2600.0,2200.0,400.0,23.0,113.04,1.0,9.0,2019.0,blok,agency,54.4134101,18.5944198,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,4yrQb,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2800.0,1800.0,1000.0,24.0,116.67,1.0,2.0,2025.0,apartamentowiec,agency,54.354082677871,18.676374864001,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,4y61w,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
2400.0,2000.0,400.0,20.0,120.0,1.0,2.0,1936.0,kamienica,private,54.3877823,18.5855064,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,4Apds,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3200.0,2600.0,600.0,36.0,88.89,2.0,3.0,2025.0,blok,private,54.3102555,18.5987562,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,4ApkX,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
4800.0,2400.0,2400.0,30.0,160.0,2.0,0.0,2019.0,blok,private,54.3295446,18.5672624,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,4ApbZ,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3500.0,3000.0,500.0,42.0,83.33,2.0,4.0,2024.0,blok,private,54.328669724205,18.59038568728,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,4Ajdd,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
